open,high,low,last,close,volume,date,symbol,exchange
225.855,228.27,224.57,224.955,225.75,66470.0,2020-06-09T19:35:52+0000,AMGN,IEXG
225.855,228.27,224.57,225.18,225.75,63757.0,2020-06-09T19:30:54+0000,AMGN,IEXG
225.855,228.27,224.57,225.04,225.75,63007.0,2020-06-09T19:25:51+0000,AMGN,IEXG
225.855,228.27,224.57,225.035,225.75,61164.0,2020-06-09T19:20:58+0000,AMGN,IEXG
225.855,228.27,224.57,225.06,225.75,59993.0,2020-06-09T19:15:58+0000,AMGN,IEXG
225.855,228.27,224.57,225.03,225.75,58545.0,2020-06-09T19:10:41+0000,AMGN,IEXG
225.855,228.27,224.57,224.73,225.75,57505.0,2020-06-09T19:05:09+0000,AMGN,IEXG
225.855,228.27,224.57,224.76,225.75,57495.0,2020-06-09T19:05:02+0000,AMGN,IEXG
225.855,228.27,224.8,224.81,225.75,57315.0,2020-06-09T19:00:48+0000,AMGN,IEXG
225.855,228.27,224.8,224.93,225.75,56712.0,2020-06-09T19:00:02+0000,AMGN,IEXG
225.855,228.27,224.84,224.89,225.75,55999.0,2020-06-09T18:55:37+0000,AMGN,IEXG
225.855,228.27,224.92,225.01,225.75,55110.0,2020-06-09T18:50:01+0000,AMGN,IEXG
225.855,228.27,224.92,225.05,225.75,54000.0,2020-06-09T18:45:24+0000,AMGN,IEXG
225.855,228.27,225.02,225.04,225.75,52864.0,2020-06-09T18:40:46+0000,AMGN,IEXG
225.855,228.27,225.07,225.39,225.75,49694.0,2020-06-09T18:35:55+0000,AMGN,IEXG
225.855,228.27,225.07,225.14,225.75,48577.0,2020-06-09T18:30:11+0000,AMGN,IEXG
225.855,228.27,225.29,225.29,225.75,47877.0,2020-06-09T18:25:30+0000,AMGN,IEXG
225.855,228.27,225.29,225.86,225.75,44689.0,2020-06-09T18:15:32+0000,AMGN,IEXG
225.855,228.27,225.29,225.78,225.75,43789.0,2020-06-09T18:10:54+0000,AMGN,IEXG
225.855,228.27,225.29,226.33,225.75,42853.0,2020-06-09T18:05:15+0000,AMGN,IEXG
225.855,228.27,225.29,226.345,225.75,42753.0,2020-06-09T18:05:00+0000,AMGN,IEXG
225.855,228.27,225.29,226.575,225.75,41627.0,2020-06-09T17:55:37+0000,AMGN,IEXG
225.855,228.27,225.29,226.67,225.75,40823.0,2020-06-09T17:50:41+0000,AMGN,IEXG
225.855,228.27,225.29,226.86,225.75,40420.0,2020-06-09T17:45:55+0000,AMGN,IEXG
225.855,228.27,225.29,226.92,225.75,39599.0,2020-06-09T17:40:43+0000,AMGN,IEXG
225.855,228.27,225.29,226.79,225.75,37777.0,2020-06-09T17:30:42+0000,AMGN,IEXG
225.855,228.27,225.29,226.81,225.75,37294.0,2020-06-09T17:20:50+0000,AMGN,IEXG
225.855,228.27,225.29,226.74,225.75,36637.0,2020-06-09T17:15:44+0000,AMGN,IEXG
225.855,228.27,225.29,226.75,225.75,36316.0,2020-06-09T17:10:44+0000,AMGN,IEXG
225.855,228.27,225.29,226.86,225.75,35859.0,2020-06-09T17:05:57+0000,AMGN,IEXG
225.855,228.27,225.29,227.03,225.75,34755.0,2020-06-09T16:55:40+0000,AMGN,IEXG
225.855,228.27,225.29,226.9,225.75,33846.0,2020-06-09T16:50:38+0000,AMGN,IEXG
225.855,228.27,225.29,227.21,225.75,30636.0,2020-06-09T16:40:43+0000,AMGN,IEXG
225.855,228.27,225.29,226.96,225.75,30136.0,2020-06-09T16:35:11+0000,AMGN,IEXG
225.855,228.27,225.29,227.19,225.75,29217.0,2020-06-09T16:30:36+0000,AMGN,IEXG
225.855,228.27,225.29,227.155,225.75,28907.0,2020-06-09T16:25:25+0000,AMGN,IEXG
225.855,228.27,225.29,226.69,225.75,28100.0,2020-06-09T16:15:59+0000,AMGN,IEXG
225.855,228.27,225.29,226.765,225.75,27058.0,2020-06-09T16:10:02+0000,AMGN,IEXG
225.855,228.27,225.29,226.925,225.75,26615.0,2020-06-09T16:05:36+0000,AMGN,IEXG
225.855,228.27,225.29,227.04,225.75,24292.0,2020-06-09T15:55:45+0000,AMGN,IEXG
225.855,228.27,225.29,226.94,225.75,24075.0,2020-06-09T15:50:22+0000,AMGN,IEXG
225.855,228.27,225.29,227.05,225.75,22812.0,2020-06-09T15:45:40+0000,AMGN,IEXG
225.855,228.27,225.29,228.075,225.75,20521.0,2020-06-09T15:30:47+0000,AMGN,IEXG
225.855,228.27,225.29,227.66,225.75,19601.0,2020-06-09T15:25:08+0000,AMGN,IEXG
225.855,228.27,225.29,227.67,225.75,19501.0,2020-06-09T15:25:02+0000,AMGN,IEXG
