low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,symbol,exchange,date
140.95,142.45,198150.0,,,142.45,,,1.0,AENA.BMEX,BMEX,2021-05-26T00:00:00
142.35,142.35,104055.0,,,142.35,,,1.0,AENA.BMEX,BMEX,2021-05-25T00:00:00
142.6,144.05,174292.0,,,144.05,,,1.0,AENA.BMEX,BMEX,2021-05-24T00:00:00
141.85,142.35,175147.0,,,142.35,,,1.0,AENA.BMEX,BMEX,2021-05-21T00:00:00
140.15,142.5,123774.0,,,142.5,,,1.0,AENA.BMEX,BMEX,2021-05-20T00:00:00
140.0,141.85,178594.0,,,141.85,,,1.0,AENA.BMEX,BMEX,2021-05-19T00:00:00
143.0,143.85,159676.0,,,143.85,,,1.0,AENA.BMEX,BMEX,2021-05-18T00:00:00
143.6,143.9,108806.0,,,143.9,,,1.0,AENA.BMEX,BMEX,2021-05-17T00:00:00
144.05,147.2,88229.0,,,147.2,,,1.0,AENA.BMEX,BMEX,2021-05-14T00:00:00
141.35,144.75,103002.0,,,144.75,,,1.0,AENA.BMEX,BMEX,2021-05-13T00:00:00
144.7,145.75,231724.0,,,145.75,,,1.0,AENA.BMEX,BMEX,2021-05-12T00:00:00
142.55,144.05,155195.0,,,144.05,,,1.0,AENA.BMEX,BMEX,2021-05-11T00:00:00
143.6,144.85,226167.0,,,144.85,,,1.0,AENA.BMEX,BMEX,2021-05-10T00:00:00
147.35,150.3,131480.0,,,150.3,,,1.0,AENA.BMEX,BMEX,2021-05-07T00:00:00
145.9,148.0,141801.0,,,148.0,,,1.0,AENA.BMEX,BMEX,2021-05-06T00:00:00
148.35,149.0,216162.0,,,149.0,,,1.0,AENA.BMEX,BMEX,2021-05-05T00:00:00
146.55,146.65,162632.0,,,146.65,,,1.0,AENA.BMEX,BMEX,2021-05-04T00:00:00
144.0,148.5,166990.0,,,148.5,,,1.0,AENA.BMEX,BMEX,2021-05-03T00:00:00
143.8,144.7,297546.0,,,144.7,,,1.0,AENA.BMEX,BMEX,2021-04-30T00:00:00
139.3,142.85,234329.0,,,142.85,,,1.0,AENA.BMEX,BMEX,2021-04-29T00:00:00
137.6,140.45,193484.0,,,140.45,,,1.0,AENA.BMEX,BMEX,2021-04-28T00:00:00
136.05,138.55,134596.0,,,138.55,,,1.0,AENA.BMEX,BMEX,2021-04-27T00:00:00
133.35,136.9,141353.0,,,136.9,,,1.0,AENA.BMEX,BMEX,2021-04-26T00:00:00
133.6,133.65,181078.0,,,133.65,,,1.0,AENA.BMEX,BMEX,2021-04-23T00:00:00
134.15,136.7,135200.0,,,136.7,,,1.0,AENA.BMEX,BMEX,2021-04-22T00:00:00
133.9,135.4,168971.0,,,135.4,,,1.0,AENA.BMEX,BMEX,2021-04-21T00:00:00
134.65,134.7,213443.0,,,134.7,,,1.0,AENA.BMEX,BMEX,2021-04-20T00:00:00
137.5,141.05,174889.0,,,141.05,,,1.0,AENA.BMEX,BMEX,2021-04-19T00:00:00
138.05,138.65,144778.0,,,138.65,,,1.0,AENA.BMEX,BMEX,2021-04-16T00:00:00
136.85,137.9,121952.0,,,137.9,,,1.0,AENA.BMEX,BMEX,2021-04-15T00:00:00
136.5,138.75,116871.0,,,138.75,,,1.0,AENA.BMEX,BMEX,2021-04-14T00:00:00
135.5,137.2,120535.0,,,137.2,,,1.0,AENA.BMEX,BMEX,2021-04-13T00:00:00
135.6,135.85,97203.0,,,135.85,,,1.0,AENA.BMEX,BMEX,2021-04-12T00:00:00
138.3,138.3,144651.0,,,138.3,,,1.0,AENA.BMEX,BMEX,2021-04-09T00:00:00
138.1,139.9,186535.0,,,139.9,,,1.0,AENA.BMEX,BMEX,2021-04-08T00:00:00
137.9,138.2,108389.0,,,138.2,,,1.0,AENA.BMEX,BMEX,2021-04-07T00:00:00
137.9,139.1,162073.0,,,139.1,,,1.0,AENA.BMEX,BMEX,2021-04-06T00:00:00
137.1,138.0,84084.0,,,138.0,,,1.0,AENA.BMEX,BMEX,2021-04-01T00:00:00
136.5,138.3,439773.0,,,138.3,,,1.0,AENA.BMEX,BMEX,2021-03-31T00:00:00
134.2,137.6,166770.0,,,137.6,,,1.0,AENA.BMEX,BMEX,2021-03-30T00:00:00
132.7,133.5,177162.0,,,133.5,,,1.0,AENA.BMEX,BMEX,2021-03-29T00:00:00
134.0,134.8,121897.0,,,134.8,,,1.0,AENA.BMEX,BMEX,2021-03-26T00:00:00
132.7,136.3,138595.0,,,136.3,,,1.0,AENA.BMEX,BMEX,2021-03-25T00:00:00
132.6,136.9,1055569.0,,,136.9,,,1.0,AENA.BMEX,BMEX,2021-03-24T00:00:00
133.6,134.5,237047.0,,,134.5,,,1.0,AENA.BMEX,BMEX,2021-03-23T00:00:00
136.2,137.1,375687.0,,,137.1,,,1.0,AENA.BMEX,BMEX,2021-03-22T00:00:00
139.9,141.0,362904.0,,,141.0,,,1.0,AENA.BMEX,BMEX,2021-03-19T00:00:00
143.2,143.9,289402.0,,,143.9,,,1.0,AENA.BMEX,BMEX,2021-03-18T00:00:00
144.0,144.2,167275.0,,,144.2,,,1.0,AENA.BMEX,BMEX,2021-03-17T00:00:00
145.2,145.9,204645.0,,,145.9,,,1.0,AENA.BMEX,BMEX,2021-03-16T00:00:00
144.7,145.8,244260.0,,,145.8,,,1.0,AENA.BMEX,BMEX,2021-03-15T00:00:00
142.5,144.5,163255.0,,,144.5,,,1.0,AENA.BMEX,BMEX,2021-03-12T00:00:00
142.0,144.5,253991.0,,,144.5,,,1.0,AENA.BMEX,BMEX,2021-03-11T00:00:00
145.1,145.5,186816.0,,,145.5,,,1.0,AENA.BMEX,BMEX,2021-03-10T00:00:00
144.8,145.6,295828.0,,,145.6,,,1.0,AENA.BMEX,BMEX,2021-03-09T00:00:00
141.3,145.8,137272.0,,,145.8,,,1.0,AENA.BMEX,BMEX,2021-03-08T00:00:00
139.5,140.4,165402.0,,,140.4,,,1.0,AENA.BMEX,BMEX,2021-03-05T00:00:00
139.6,142.8,301474.0,,,142.8,,,1.0,AENA.BMEX,BMEX,2021-03-04T00:00:00
140.0,142.3,195535.0,,,142.3,,,1.0,AENA.BMEX,BMEX,2021-03-03T00:00:00
140.5,140.5,254937.0,,,140.5,,,1.0,AENA.BMEX,BMEX,2021-03-02T00:00:00
140.6,141.1,187812.0,,,141.1,,,1.0,AENA.BMEX,BMEX,2021-03-01T00:00:00
139.6,140.9,222140.0,,,140.9,,,1.0,AENA.BMEX,BMEX,2021-02-26T00:00:00
142.2,142.8,502844.0,,,142.8,,,1.0,AENA.BMEX,BMEX,2021-02-25T00:00:00
139.5,144.2,347583.0,,,144.2,,,1.0,AENA.BMEX,BMEX,2021-02-24T00:00:00
137.0,141.5,271503.0,,,141.5,,,1.0,AENA.BMEX,BMEX,2021-02-23T00:00:00
130.1,137.2,207559.0,,,137.2,,,1.0,AENA.BMEX,BMEX,2021-02-22T00:00:00
129.7,130.8,296188.0,,,130.8,,,1.0,AENA.BMEX,BMEX,2021-02-19T00:00:00
128.7,129.2,109366.0,,,129.2,,,1.0,AENA.BMEX,BMEX,2021-02-18T00:00:00
130.7,132.4,358492.0,,,132.4,,,1.0,AENA.BMEX,BMEX,2021-02-17T00:00:00
131.0,132.8,543729.0,,,132.8,,,1.0,AENA.BMEX,BMEX,2021-02-16T00:00:00
132.2,132.8,181902.0,,,132.8,,,1.0,AENA.BMEX,BMEX,2021-02-15T00:00:00
130.2,131.5,75857.0,,,131.5,,,1.0,AENA.BMEX,BMEX,2021-02-12T00:00:00
130.7,131.6,112507.0,,,131.6,,,1.0,AENA.BMEX,BMEX,2021-02-11T00:00:00
133.3,133.5,109555.0,,,133.5,,,1.0,AENA.BMEX,BMEX,2021-02-10T00:00:00
134.3,134.8,208155.0,,,134.8,,,1.0,AENA.BMEX,BMEX,2021-02-09T00:00:00
135.2,138.0,141504.0,,,138.0,,,1.0,AENA.BMEX,BMEX,2021-02-08T00:00:00
133.6,136.1,147378.0,,,136.1,,,1.0,AENA.BMEX,BMEX,2021-02-05T00:00:00
131.3,133.4,115721.0,,,133.4,,,1.0,AENA.BMEX,BMEX,2021-02-04T00:00:00
132.5,133.0,157163.0,,,133.0,,,1.0,AENA.BMEX,BMEX,2021-02-03T00:00:00
129.8,134.2,225979.0,,,134.2,,,1.0,AENA.BMEX,BMEX,2021-02-02T00:00:00
127.3,129.1,243478.0,,,129.1,,,1.0,AENA.BMEX,BMEX,2021-02-01T00:00:00
125.9,127.3,248792.0,,,127.3,,,1.0,AENA.BMEX,BMEX,2021-01-29T00:00:00
125.2,131.6,209184.0,,,131.6,,,1.0,AENA.BMEX,BMEX,2021-01-28T00:00:00
125.3,126.9,332745.0,,,126.9,,,1.0,AENA.BMEX,BMEX,2021-01-27T00:00:00
127.0,128.5,215687.0,,,128.5,,,1.0,AENA.BMEX,BMEX,2021-01-26T00:00:00
126.2,128.7,464117.0,,,128.7,,,1.0,AENA.BMEX,BMEX,2021-01-25T00:00:00
129.7,130.7,507478.0,,,130.7,,,1.0,AENA.BMEX,BMEX,2021-01-22T00:00:00
131.6,132.2,279223.0,,,132.2,,,1.0,AENA.BMEX,BMEX,2021-01-21T00:00:00
134.7,135.6,297830.0,,,135.6,,,1.0,AENA.BMEX,BMEX,2021-01-20T00:00:00
135.7,135.9,146261.0,,,135.9,,,1.0,AENA.BMEX,BMEX,2021-01-19T00:00:00
135.3,138.0,160725.0,,,138.0,,,1.0,AENA.BMEX,BMEX,2021-01-18T00:00:00
139.7,141.3,197134.0,,,141.3,,,1.0,AENA.BMEX,BMEX,2021-01-15T00:00:00
139.2,141.7,364694.0,,,141.7,,,1.0,AENA.BMEX,BMEX,2021-01-14T00:00:00
139.0,139.2,176545.0,,,139.2,,,1.0,AENA.BMEX,BMEX,2021-01-13T00:00:00
138.8,140.5,180816.0,,,140.5,,,1.0,AENA.BMEX,BMEX,2021-01-12T00:00:00
137.5,138.9,157964.0,,,138.9,,,1.0,AENA.BMEX,BMEX,2021-01-11T00:00:00
138.8,140.7,307940.0,,,140.7,,,1.0,AENA.BMEX,BMEX,2021-01-08T00:00:00
136.3,139.3,132215.0,,,139.3,,,1.0,AENA.BMEX,BMEX,2021-01-07T00:00:00
137.3,141.1,166494.0,,,141.1,,,1.0,AENA.BMEX,BMEX,2021-01-06T00:00:00
135.6,138.3,242269.0,,,138.3,,,1.0,AENA.BMEX,BMEX,2021-01-05T00:00:00
137.0,138.5,237612.0,,,138.5,,,1.0,AENA.BMEX,BMEX,2021-01-04T00:00:00
142.0,142.2,0.0,,,142.2,,,1.0,AENA.BMEX,BMEX,2020-12-31T00:00:00
142.3,143.8,90053.0,,,143.8,,,1.0,AENA.BMEX,BMEX,2020-12-30T00:00:00
142.2,143.7,181711.0,,,143.7,,,1.0,AENA.BMEX,BMEX,2020-12-29T00:00:00
138.6,142.2,100424.0,,,142.2,,,1.0,AENA.BMEX,BMEX,2020-12-28T00:00:00
137.8,138.6,0.0,,,138.6,,,1.0,AENA.BMEX,BMEX,2020-12-24T00:00:00
135.2,138.8,227589.0,,,138.8,,,1.0,AENA.BMEX,BMEX,2020-12-23T00:00:00
132.4,135.5,242237.0,,,135.5,,,1.0,AENA.BMEX,BMEX,2020-12-22T00:00:00
128.6,133.3,665357.0,,,133.3,,,1.0,AENA.BMEX,BMEX,2020-12-21T00:00:00
136.1,136.1,916056.0,,,136.1,,,1.0,AENA.BMEX,BMEX,2020-12-18T00:00:00
137.9,138.3,604484.0,,,138.3,,,1.0,AENA.BMEX,BMEX,2020-12-17T00:00:00
138.6,138.9,160563.0,,,138.9,,,1.0,AENA.BMEX,BMEX,2020-12-16T00:00:00
134.9,138.3,162438.0,,,138.3,,,1.0,AENA.BMEX,BMEX,2020-12-15T00:00:00
135.9,135.9,163679.0,,,135.9,,,1.0,AENA.BMEX,BMEX,2020-12-14T00:00:00
132.8,136.1,393814.0,,,136.1,,,1.0,AENA.BMEX,BMEX,2020-12-11T00:00:00
135.3,136.1,213871.0,,,136.1,,,1.0,AENA.BMEX,BMEX,2020-12-10T00:00:00
136.8,137.0,515499.0,,,137.0,,,1.0,AENA.BMEX,BMEX,2020-12-09T00:00:00
137.7,138.1,102680.0,,,138.1,,,1.0,AENA.BMEX,BMEX,2020-12-08T00:00:00
